sqft,floors,bedrooms,bathrooms,price
12850,1,5,3,1.10E+06
10000,1,4,1.75,269000
8744,2,3,2.5,560000
2400,1.5,4,1,615000
10026,1,3,2.25,585188
9480,1,3,1.75,305000
8820,1,3,1,166950
9897,1,3,2.5,799000
7508,1,3,2.5,400000
10228,1,3,1,230000
5025,2,3,2.5,256883
6480,1.5,4,2,423000
4084,2,3,2.5,465000
66211,2,3,2.5,440000
155073,1,3,1.75,385000
11725,1,3,1,210000
14952,2,3,2.5,297000
5000,1,3,1,470000
7370,1,3,1.5,226500
8450,1,3,1,274250
11010,1,4,1.75,840000
4587,2,3,2.5,677900
5864,1,3,1,425000
9600,1,2,0.75,180250
3404,2,6,3,464000
7579,2,4,2.25,320000
1566,2,3,2.25,625504
12032,1,4,2.5,592500
17936,2,3,2.5,465000
6270,2,4,2.75,477000
16400,1,2,1,280000
33474,1,5,3,1.51E+06
5692,2,3,2.5,445838
14864,1,2,2.25,1.07E+06
10800,1,2,1.5,467000
6440,2,4,2.5,686000
9750,1,3,2,279950
19436,2,4,2.25,527000
16020,1,3,2.25,325000
8379,2,3,2.25,328000
7500,1,3,2.25,390000
6516,1,2,2,479950
9753,1,4,2.25,264950
15246,1,3,1,235000
4729,2,3,2.5,516500
15798,2,2,1.75,655000
15347,1,4,2.75,500000
7350,1,6,2.75,315000
10200,1,2,1,213000
5280,1.5,3,1.5,475000
28040,2,5,4,1.03E+06
94300,1,3,2,416000
4740,1.5,4,1,410000
221284,2,3,3.5,800000
14034,1,6,2.5,472000
8505,1,3,1.75,225000
6000,1,2,1,210000
5000,1.5,2,1,455000
8316,1,3,1,225000
3060,1,2,1,480000
11872,2,3,2.5,363000
8354,1,4,2.5,2.40E+06
5120,1,2,1.5,181000
7312,1,4,2,250000
3000,1,3,1.75,481000
7209,1,3,2,260000
7685,2,4,2.5,455000
36224,2,3,2.25,415000
3538,1,3,1,349500
7442,2,3,2.5,245000
9191,1.5,2,2,592500
7620,1,4,1.75,385000
11455,1,3,1.75,315000
10170,1,3,1,255000
4425,2,4,2.5,693000
4400,1.5,3,1,780000
8470,1,3,1.75,237000
40510,2,3,2.25,525000
5040,1,2,1,425000
10079,1,1,0.75,369900
7280,2,4,2.5,290000
10701,1,3,1,285000
4500,1,2,1,415000
9900,1,3,2.5,272500
20100,1.5,4,3.25,2.90E+06
57346,2,4,4.75,1.37E+06
7538,1,2,1,436000
11390,1,3,1,210000
5898,1,3,1,236000
1306,1,3,1.75,331000
4510,2,3,2.5,365000
16258,1,3,2,450000
26300,2,4,2.75,770000
49375,1,4,2.5,455000
6000,1,3,1.75,405000
11325,1,4,1.75,304900
5265,1,2,1,170000
8480,2,5,3,2.05E+06
7048,2,4,2.5,780000
13959,1,3,3,330000
8666,2,4,2.5,370000
13500,1,5,2.25,467000
6720,1,3,1.75,405000
10300,1,5,2.25,675000
14100,1,2,1,500000
15770,2,4,2.5,389999
9025,1,4,1.75,630000
9528,2,4,2.5,360000
11060,2,4,3,580000
4166,2,3,2,550000
22111,2,4,2.5,879000
8959,1,3,2,265000
7286,2,3,2.5,446500
8880,1,3,1.5,404000
11914,1,3,1.75,267500
18641,1,4,5,3.08E+06
7632,2,3,2.5,335000
9000,1,3,2.5,576000
3810,2,3,2.5,208633
8750,1,3,2.25,315000
3300,1,3,1.75,725000
7750,1,4,2.75,550000
7297,2,4,2.25,610750
5000,1.5,2,1,550700
10574,2,4,2.75,665000
4000,1.5,4,2.5,834000
78408,1.5,5,1.75,201000
9050,2,5,2.5,2.38E+06
12103,1,4,3.25,1.38E+06
12103,1,4,3.25,1.40E+06
7700,1,4,2.25,305000
14052,1,3,2,487000
64904,1,3,2.5,390000
3864,1,2,1,548000
8775,1,4,1,268750
7119,2,5,2.75,819900
16200,2,3,2.25,520000
11204,1,3,2,230000
10248,1,3,1.75,240000
12092,1,2,1,232000
12092,1,2,1,240500
45004,2,3,2.5,274975
4400,1.5,4,2,740000
7636,1,3,1,186375
10289,1,3,2.25,790000
6750,2,4,3.5,880000
11180,2,6,1.75,279000
10530,1,3,2,295000
5000,1,2,1,640000
9525,2,4,2,940000
5238,2,4,2.5,260000
5569,1,3,2.75,559900
3500,1.5,4,2,791500
8250,1,3,1.75,265000
11547,1,3,1.75,245000
43995,2,4,1.75,485000
8414,2,4,3.5,684000
6840,1,3,1.75,425000
20000,1,4,1.75,309600
5823,2,4,2.5,552250
7134,1,4,1,165000
7134,1,4,1,239900
32633,1,2,1,320000
13464,1,3,2,206600
7690,1,4,1.75,387000
12120,1,1,0.75,299000
10460,2,4,2.75,855000
14400,1,3,1,315000
3120,1,2,1,437500
19800,1,4,1.5,252000
7475,1,4,1.75,375000
4862,2,4,2.5,300000
9600,1.5,4,1,420000
77972,1,3,1,900000
5750,2,3,2.5,679900
29970,2,3,2.5,463000
11340,2,5,2.5,380000
7912,2,4,2.5,329500
5608,1,3,2.5,604950
9570,1,5,2.5,795000
40438,2,3,2,465000
10400,2,4,2.5,673000
15420,2,4,2.5,810000
69415,1,4,2.75,785000
7500,1,4,3,338000
7222,2,3,2.25,280000
10754,1,4,2.25,315000
10754,1,4,2.25,530000
9914,2,5,3,380000
7562,2,3,2.25,297000
7331,2,4,2.5,730000
13500,1,3,1.75,450000
7750,1,3,3,275000
2849,2,4,2,595000
3348,1.5,3,1.5,435000
209959,1,2,1.5,270000
14338,2,3,3,950000
5337,2,4,2.25,389000
7800,1,4,2.25,560000
14984,2,5,3.5,1.35E+06
11585,2,4,2.25,799000
9600,1,3,2,365500
7352,1,3,2,252350
13780,2,4,2.5,403950
10726,1,4,1.5,385000
7620,1.5,4,1,345000
3128,2,3,2.75,490000
26977,2,3,2.5,330000
12090,2,4,2.75,927000
16619,2,4,2.5,1.12E+06
10000,1,2,1,330000
8800,1,5,2.25,530000
25600,1,4,2,365000
3000,1.5,3,2.5,378750
8750,1.5,4,1.75,269900
2096,2,3,3.5,557000
16980,1,4,1.75,360000
5000,1,2,1,352000
22357,2,3,2.5,437000
6753,2,4,2.5,322500
2000,2,3,3.25,650000
1213,3,3,2,450000
5250,1,3,2,278500
6957,2,4,2.5,364950
40139,1,4,3.5,840000
8134,2,3,2.5,268000
143947,1,2,1,517534
32239,2,3,2.5,632925
7251,2,3,2.5,577500
7480,1.5,4,1.5,339000
37461,1,3,1.75,570000
174240,1,4,1.75,563500
9351,1,4,2.25,423000
5028,2,3,2.25,355000
171626,2,5,4.25,1.55E+06
3960,1,2,1,482000
9135,1,3,1.75,625000
11632,2,3,2.5,538000
10255,2,3,2.5,380000
5120,1,2,1,375000
8500,1,3,2.5,245000
27260,1,5,1.75,310000
15021,1,3,2,1.30E+06
7680,1,4,2,397000
4052,2,3,2.5,365000
8250,2,4,3,328500
19700,2,4,3,988000
3277,1.5,4,2.5,1.00E+06
2138,2,3,2.5,237000
5280,2,4,2.5,525000
9627,1,4,2.5,749000
11800,2,5,2.5,722500
8750,2,3,2.5,843000
1372,3,2,2,438000
10875,1,3,1.75,578000
8230,1,3,1.5,227950
11576,2,3,2.25,196000
5332,1,2,1,641000
219978,1,3,1.5,350000
7980,1,3,1,205000
9102,1,3,1.75,400000
9816,1,3,2.5,1.03E+06
5460,1,3,2,505000
7200,1,5,2.5,475000
9263,1,3,2.25,520000
24920,2,3,4.5,1.45E+06
9732,1,3,1.75,333500
10403,1,3,1,232000
16117,1,3,2.75,691100
9897,1,3,1.75,811000
5802,2,3,2.5,551000
3640,2,3,2.5,496500
20978,2,3,3,705000
9225,1,4,2.5,578000
8659,1,3,1.75,255000
7832,2,4,3.5,1.05E+06
8491,2,3,2.25,348000
3413,2,3,2,230000
11250,2,4,2.25,359500
7000,1,3,1,330000
5050,1,1,0.75,80000
6360,1,3,1.75,465000
7324,2,4,2.5,325000
28025,1,3,2,340500
5192,2,3,2.5,342500
17600,2,2,2,290900
6161,2,3,4.25,868700
8400,2,4,2.75,1.20E+06
10259,2,4,3.25,1.15E+06
6298,2,4,2.75,859900
3006,2,4,2.25,520000
2527,2,3,2.5,460000
4590,1,3,1.5,438924
6550,1,2,1,315000
10650,1,4,2.75,590000
8640,1,4,1.75,378500
8130,2,3,2.5,328500
9773,2,3,3,849950
6000,1,3,1.5,525000
181319,2.5,4,3.25,1.39E+06
7725,1,4,2.5,295000
11793,2,6,3.5,1.07E+06
5000,1,2,2,207950
7302,2,4,2.75,699900
9500,2,5,2.5,1.28E+06
7350,1,4,1.5,452000
5036,1,3,2,370000
11230,1,3,1.75,232000
14062,2,5,2.5,669950
6710,1,3,2,397500
1391,2,2,2.5,490000
4140,2,4,2,725000
19635,1,3,2.75,299000
5750,1.5,2,1.5,625000
4500,2,3,2.5,437500
5438,2,4,2.5,650000
3825,1,2,1,475000
11947,1,3,2,342000
7800,2,4,2.5,1.20E+06
11610,1,3,1.5,280000
7200,1,2,1.75,240000
3328,1.5,3,1,529000
5100,1,3,1,442000
6872,1,2,1,615000
10800,2,4,3.75,1.49E+06
7559,1,4,1.75,585000
7787,2,4,2.5,480000
57063,2,5,3.5,1.10E+06
8184,1.5,4,1,290000
5000,1,3,1.75,615000
7680,1,2,1,300000
39150,1.5,3,1,308000
7745,2,3,2.5,750000
8036,2.5,4,2.25,2.25E+06
194278,2,4,3.25,890000
7560,1,3,1,288000
6000,1,2,1,190000
5105,1,5,3,515000
11054,1,4,1.5,235000
5000,1,2,1,275000
9119,1,2,2,727500
6587,2,4,2.5,650000
230652,2,6,5,1.60E+06
7085,1.5,4,1,365000
36947,1,3,1.75,662000
7848,1,3,2.5,270500
1898,2,2,1.5,200000
76230,2,4,3.25,970000
9600,1,3,1.5,160000
7405,1,3,1,204000
6655,2,3,2.25,358000
8268,1,4,1.75,452000
4000,1,2,2,595000
6082,1,3,2,249000
5106,2,4,2.5,346900
24069,2,3,2.5,2.13E+06
4350,2,4,2.5,280000
12000,1,4,1.75,318888
40518,1,3,2.25,530000
18500,2,3,2.25,375000
29242,2,4,2.5,910000
9614,2,4,2.5,782000
649,2,2,2,259950
18360,1,4,2.75,315000
8865,1,2,1,215000
10221,1,3,1.75,705000
6320,2,3,3,1.45E+06
9813,2,3,1.75,451000
8125,1,2,1,261000
8280,1,3,1.5,396000
29170,2,4,2.5,725000
15235,2,7,3.5,1.95E+06
7242,1.5,4,1,238000
9563,2,6,1.75,750000
10271,2,4,2.5,331500
108900,1,4,3,460000
217014,1,4,2.25,404950
5163,2,3,2.5,880000
22370,2,4,2.5,863000
9162,1,3,1.75,638700
5680,2,3,2.5,435000
5350,1.5,3,1,260000
4000,1.5,5,2.75,671500
3400,1.5,3,1,610000
15029,1,2,0.75,405000
5612,2,4,2.5,338900
7708,2,4,4,720000
5445,1.5,5,3,442000
5040,1.5,5,2.75,650000
9917,1,3,1.75,263500
75794,1,2,1,300000
3402,2,3,2.5,266000
84942,2.5,4,4,930000
5493,2,4,2.5,530000
8960,1,3,1,180000
6439,2,3,2.5,619000
10608,1,3,1.5,264000
4920,1.5,2,2.25,730000
10070,2,4,2.25,439000
7500,1,4,1.75,268500
15744,1,3,1.75,330000
4000,1.5,3,2.5,640000
12600,2,3,2.5,900000
13300,2,3,2.25,370000
2900,1.5,3,2,685000
217800,1,3,1.5,505000
32666,1,3,1.75,265000
2937,2,3,2.5,290000
3600,2,4,2.5,296000
9611,2,4,2.5,360000
10584,1,3,1.75,240500
2958,2,2,2.5,372500
14402,2,3,2.5,595000
8249,2,4,3,515000
15367,2,4,2.25,1.22E+06
6460,1,2,1.75,507000
31465,1,4,2,399950
10816,2,3,1.75,185000
7070,1,3,1.75,460000
4789,2,3,2.25,435500
13938,1,4,2.75,469000
1175,2,2,3,531000
6804,1,2,1,443500
6824,1,3,2,223000
15842,2,4,3.5,590000
1760,3,2,2.5,340000
3388,1,3,2,650000
5080,2,3,2.5,533600
4694,2,3,2.75,695000
7524,1.5,3,1.75,242000
8814,1,3,2.25,425000
9414,2,3,2.25,525000
5502,2,3,2.5,485000
9775,1,3,1,175000
7210,1,3,2,210000
7415,2,3,2.5,260000
5750,1,3,2.5,577000
10588,1,3,1.5,200000
5000,1,2,1.75,605000
6750,1,3,1,325000
6400,1,3,1,289500
1458,3,3,2.5,559950
9375,1,3,1.75,1.04E+06
2790,1,3,2.25,543500
34293,2,4,2.25,480000
9633,1,3,1,218000
6000,1,2,1.75,565000
7700,1,3,1.75,426700
11575,1,3,2.5,650000
3060,1,2,1,542000
8000,1,3,1.75,415000
8316,1,3,1,214000
8910,2,3,1.5,245000
13303,1,3,2,314500
5750,2,3,1.5,1.12E+06
3850,1,2,2,378000
9091,1,4,2.5,305000
6750,1,5,2.75,595000
1091,3,3,2.5,729500
6699,2,3,2.5,430000
6500,1,3,1.75,240000
6200,1.5,3,1.75,545000
2500,1,3,1.75,530000
26326,1,1,1,157000
7645,1.5,4,1,425000
6020,1,3,1,220000
36400,1,4,1.75,521000
6862,1,3,1,325000
5400,1.5,3,2,597500
3976,2,3,2.5,337000
10492,2,3,2.5,1.00E+06
55867,1,3,2.5,3.07E+06
6000,1,3,1,495000
3330,2,4,3.5,748000
8710,1,3,1.5,888000
22267,1,3,1.75,269900
14440,1,4,2.5,496500
5097,2,3,2.5,475000
1374,3,3,1.5,312000
12231,1,3,1,323000
9079,1,3,1.75,331000
1086,3,3,1.5,306000
4000,3,4,2.5,655000
15954,1,3,1.5,290000
5000,2,4,3.25,1.25E+06
4708,1,3,1.75,460000
6380,1,4,2.5,435000
11880,1,4,2.75,664000
4180,2,4,1.75,865000
18000,1,3,1.75,385000
9315,1,3,2.25,497000
3000,1,2,1,280000
17487,1,2,1.5,188000
4755,1,3,1,478500
18361,2,4,3.5,1.15E+06
7187,1,3,2,222000
209523,2,4,3,799000
7399,2,4,2.5,609900
5809,2,4,3.5,413000
4875,1.5,4,1,400000
6768,2,5,2.75,802541
7757,2,3,2.5,320000
7649,2,4,2.5,507000
8329,1,3,1,387500
12616,1,3,1,396000
11788,1,3,1.75,373000
19252,2,5,2.5,1.48E+06
7698,2,4,2.25,359900
4342,1,2,1,410000
23488,2,4,2.5,690000
5760,1,3,2,245000
25958,1,5,2.5,700000
9966,1,4,1.75,268000
26055,1,3,1.75,225000
11034,2,4,2.25,980000
5000,1.5,2,1,795000
5100,1,2,1,195000
10575,1,4,2,480000
3600,1,4,2,485000
9000,1,2,1,130000
5703,1,2,1,325000
7245,1,3,1.75,440000
14782,1,4,1.75,550000
7150,1,3,1.75,310000
39478,2,3,2.5,530000
8548,2,4,2.5,390000
12125,1,3,1.75,243000
9875,2,4,2.5,639000
7400,1,4,1,215000
10500,1,5,1.75,405000
7140,1,4,1.75,250000
8108,1,3,1.5,405500
13579,2,6,2.25,452000
13579,2,6,2.25,730000
9644,1,3,2,267000
6186,2,3,2.5,289950
4080,1,2,1,565000
51836,2,4,3.25,1.58E+06
2770,2,3,2.5,636000
5500,1,5,3,350000
9380,1,3,1.5,320000
5680,1,2,1.75,210000
5900,1,2,1,245000
7650,1,3,1.75,328000
37769,2,4,2.25,985000
7972,1,3,1.75,501000
17424,2,3,2.25,315000
8354,2,3,2.75,403000
17950,2,3,2,550000
3562,2,4,2.5,347500
8893,2,4,2.25,365000
8167,1,3,1,588000
7400,1,3,1.75,605000
5979,2,3,3.25,1.30E+06
9177,1,3,2,233000
17715,2,4,2.5,360000
4887,1,2,1.75,459000
72745,1,3,2,740000
9750,1,3,1,305000
4000,1,3,1,395000
6000,2,4,2.5,560000
5070,1,4,1.75,650000
4912,2,3,2.5,449950
5200,1,3,1.5,517500
6460,1,4,1.5,435000
6908,1,3,1,329999
4200,1,3,1.75,950000
6001,1,3,1,447000
6600,1,2,2.5,699800
3850,1,3,1.75,850000
14250,1,3,1.75,316500
9612,1,5,3.5,942500
3938,2,2,2.25,1.31E+06
13430,1,4,2.25,856600
4000,2.5,5,1.5,405600
22594,2,4,2.5,565000
1149,2,3,2.25,400000
218252,1,3,2,330000
4683,2,4,2.75,374950
7939,1,3,2.75,405300
31400,2,3,2.25,560000
9864,1,4,2.25,824000
10968,1,3,1.75,260000
6099,1,4,2.5,760000
12750,2,3,2.5,405000
8625,2,4,2.5,429900
7223,1,3,1.5,341500
7642,1.5,5,2,465250
3000,1.5,2,2,450000
10800,1,3,1,390000
8030,1,3,2.25,420000
4838,2,3,2.5,269950
2874,1,4,2,493000
5880,2,4,2.5,370000
9453,1.5,5,4.25,2.25E+06
23680,1,3,1,305000
8219,1.5,3,1.75,400000
1221,2,3,1.5,320000
4800,2,4,1,715000
10003,1.5,6,2.75,650000
8040,1,5,1.75,218000
5400,1,2,1,500000
40419,1,4,2,460000
9887,1,3,1.5,232500
5761,2,3,2.5,408200
8400,1,3,1.75,522000
11120,2,4,2.5,675000
11000,1,4,3.5,1.36E+06
7980,1.5,4,1,249950
34133,1,2,1,210000
7216,1,4,1,429950
36276,2,4,2.5,737500
9000,1,4,2,710000
4700,2,3,2.5,470000
40097,1,4,3.5,1.10E+06
2720,1.5,3,2,650000
8684,1,4,2.5,1.22E+06
4534,2,3,2.5,422120
15085,2,5,2.5,625000
7740,1.5,4,1,385200
4964,2,3,2.25,500000
12243,2,4,2.25,308000
9966,1,3,2.75,565000
4438,2,3,2.5,581000
8698,1,3,2,361000
7210,1,3,1,345000
1253,2,2,2.25,419000
4308,2,3,2.5,347000
36085,2,4,2.25,625000
15188,2,4,4.25,2.40E+06
17852,2.5,3,3.25,379000
3323,2,3,1.5,310000
5500,1,2,2,250000
5000,2,5,2.75,682000
8919,1,3,2,246500
57381,1.5,3,1,325000
4997,2,4,2.5,310950
5000,2,3,2,1.10E+06
7200,1,3,1,287500
7200,1,3,1,431000
5000,1,3,1,226000
3090,1.5,3,1.75,825000
6030,1.5,4,1,175000
10350,1,3,1.5,465750
24931,2,4,2.25,659000
5753,1,3,1.75,595000
16290,2,3,2.25,350000
8600,1,4,2.25,270000
25600,1,6,2.25,662500
14000,1,3,1.75,249900
11340,1,3,1.75,324500
4003,1,2,1.75,430000
4003,1,2,1.75,419950
7440,1,4,1.75,285000
7780,2,4,2.5,332000
10725,1,4,1.75,282000
5175,1,3,1,320000
30736,1.5,3,1,428750
35287,2,3,2.25,330000
2309,3,4,3.5,456500
11050,1,3,2.25,352000
4080,1.5,4,2,664000
11894,1,3,1.75,628000
12555,1,3,1.75,512000
9000,1,3,2,254000
5790,2,4,2.5,535800
16050,1,3,1,287653
1304,2,3,2.5,438000
23899,1,4,1.75,450000
8050,2,5,2.75,327000
6120,2,4,2.5,370500
6271,2,3,2.5,265000
13260,1,4,2.75,450000
213444,1.5,3,1,425000
8690,1,3,1.75,166600
15000,1,1,0.75,245000
5212,1,3,1,565000
10150,1,3,1.75,539900
3200,2,3,3.5,910000
7416,2,4,2.5,280000
8549,2,3,2.25,275000
6590,2,3,2.5,467000
4445,2,3,2.5,457500
3090,1,2,1,381156
8240,1,5,2.5,289999
4160,1,3,1.75,642450
8701,1,3,2.25,469950
13650,1,3,2,795000
10514,2,4,2.5,785000
12095,2,3,2.25,860000
4764,3.5,0,0,1.10E+06
8498,1,3,1,147500
11576,1,3,2,390000
8100,1,3,1,229000
8100,1,3,1,185000
9570,1,3,1.5,414900
4822,1,4,2,200000
9350,1,4,2.25,225000
4000,2,3,1.75,720000
4000,2,4,2.5,930000
17204,1,5,2.5,1.27E+06
3118,2,5,3.25,700000
1058,3,2,1.5,466000
10640,1,3,1.5,374000
10035,2,3,2.5,480000
25341,2,3,2.5,740000
5400,1.5,4,1,1.01E+06
5000,2,4,2.5,395000
6771,1,2,1,340000
1340,2,3,2,209000
7700,1.5,5,2.5,431650
11470,1,5,2.5,980000
28243,2,3,2.5,660000
9009,2,4,2.25,730000
9600,1,3,1.75,291500
14486,2,4,3.5,905000
50308,1.5,4,2.5,800000
13592,1,4,3.5,839900
1157,2,1,1.5,200000
6698,1,3,2,300000
6041,1.5,3,1.75,530000
8479,2,3,2.25,314950
9315,1,3,1.75,255000
5720,1,5,2.75,550000
4800,1,3,1,435000
8738,1,3,1.75,234000
10062,1,4,2.25,615000
8384,1,3,2,205000
7135,1,4,1.75,384000
7208,2,3,2.5,324000
5500,1,3,1.75,645000
1777,2,3,3.25,570000
5322,2,3,2.5,324000
10320,1,2,1,270000
7700,1.5,5,1.5,290000
9220,1,3,2,250000
16275,2,3,1.75,342000
8450,1,3,1.5,255000
11824,1,3,2.25,800000
4049,1.5,3,1.75,451000
10480,1,4,2.5,990000
6687,1,4,2.5,288400
4600,2,3,1.5,420000
1140,2,2,2.75,359000
262018,1,4,3,390000
2614,2,3,2.5,300000
7863,1,5,2.5,545000
18616,1,3,1,288349
35026,1,3,2.25,299900
5000,1.5,4,2,891000
22410,1,3,2,1.20E+06
4650,2,4,2.5,378000
7200,1,2,1,299995
6564,1,3,2.5,253000
47916,1,3,2.25,350000
4300,1.5,4,3,565000
5665,1,2,1,315000
6766,1.5,4,3,570000
10140,2,5,3.5,971000
5589,1.5,5,2.5,915000
23568,1,4,1.5,419000
7480,1,4,1.75,260000
12968,2,3,3,1.32E+06
10720,1,3,1,369950
13384,2,3,2.5,1.03E+06
6750,1.5,5,1,435000
6743,1,3,1.75,601000
10650,1,3,1,460500
1159,3,3,2.5,720000
13202,2,4,2.5,851000
5000,2,4,3,550000
4560,1.5,4,1,700000
14850,1,3,1.75,323000
8581,1,3,1,345500
7920,1,4,1.5,378000
5000,3,4,2,650000
7380,1,3,2,385000
2970,1,2,1,425000
6174,1.5,4,2,210000
43101,2,4,2.5,630000
7500,1,3,1.75,335000
9000,1,3,1,196500
7636,1,4,2.75,582800
7207,1,3,1.75,440000
8616,2,4,2.25,752500
5000,2,3,1.75,532500
9000,1,3,1,265000
13737,1,3,1.25,397500
3469,2,3,2.5,524250
10819,2,4,2.75,765000
5450,2,4,2.5,648000
24759,1,5,2.5,469500
7854,1,3,1.75,237500
8712,1,3,1,216000
8400,1,3,1,427200
7800,1,3,2.25,280000
9804,1,5,3,718000
4139,2,2,2.75,420000
5400,1,2,1,379000
7683,1,2,1,326100
1016,3,3,2.5,535000
8560,1,4,2.75,283000
7469,1.5,3,1,260000
6388,1.5,4,1,399000
5004,2,3,2.25,484950
9828,1,4,1.75,640000
8158,1,4,2.5,585000
11583,1,4,2,645000
7651,1,3,2,253000
6460,1,2,1,178500
6325,2,4,2.5,291000
20917,1.5,2,2.75,199950
2340,1,2,1,553500
4188,1,2,1,189950
9550,1,3,2,289000
4590,2,4,2,700000
8853,1,3,2,270000
8320,1,4,1.75,258000
7214,2,3,2.5,530000
3677,2,3,2.25,245000
5000,1.5,3,2,563000
4203,2,3,2.5,515000
7091,2,4,2.5,325000
217800,2,3,2.25,540000
5000,1,2,1,280300
5500,1.5,4,1.75,460000
